Freq.	V(out)/V(in)
5.62341325190344e+05	(-4.39133426741015e+01dB,8.12565617594021e+01°)
6.30957344480187e+05	(-4.29385946466884e+01dB,7.87453209496809e+01°)
7.07945784384131e+05	(-4.19932963655979e+01dB,7.60906594452720e+01°)
7.94328234724274e+05	(-4.10803594853237e+01dB,7.32892828955019e+01°)
8.91250938133737e+05	(-4.02031430274738e+01dB,7.03402719851265e+01°)
9.99999999999990e+05	(-3.93654190738891e+01dB,6.72463790671974e+01°)
1.12201845430195e+06	(-3.85712566002994e+01dB,6.40153827392869e+01°)
1.25892541179415e+06	(-3.78248161906548e+01dB,6.06612630521102e+01°)
1.41253754462274e+06	(-3.71300640295569e+01dB,5.72049330095737e+01°)
1.58489319246110e+06	(-3.64904323012138e+01dB,5.36742803038329e+01°)
1.77827941003891e+06	(-3.59084714170720e+01dB,5.01033558514624e+01°)
1.99526231496886e+06	(-3.53855512086608e+01dB,4.65306951805793e+01°)
2.23872113856832e+06	(-3.49216669173862e+01dB,4.29969469229727e+01°)
2.51188643150955e+06	(-3.45153886160379e+01dB,3.95421523536674e+01°)
2.81838293126442e+06	(-3.41639632353022e+01dB,3.62031077800357e+01°)
3.16227766016835e+06	(-3.38635461556716e+01dB,3.30112118583596e+01°)
3.54813389233572e+06	(-3.36095153049908e+01dB,2.99910656187203e+01°)
3.98107170553493e+06	(-3.33968117820633e+01dB,2.71599085350090e+01°)
4.46683592150958e+06	(-3.32202572911004e+01dB,2.45278049092292e+01°)
5.01187233627267e+06	(-3.30748146904158e+01dB,2.20983865783832e+01°)
5.62341325190343e+06	(-3.29557765257060e+01dB,1.98699223631411e+01°)
6.30957344480186e+06	(-3.28588819372428e+01dB,1.78365065050292e+01°)
7.07945784384130e+06	(-3.27803722336725e+01dB,1.59892110453259e+01°)
7.94328234724273e+06	(-3.27169997656050e+01dB,1.43171065910418e+01°)
8.91250938133736e+06	(-3.26660049740823e+01dB,1.28081070140431e+01°)
9.99999999999989e+06	(-3.26250743996327e+01dB,1.14496302282207e+01°)
1.12201845430195e+07	(-3.25922894535423e+01dB,1.02290893545402e+01°)
1.25892541179415e+07	(-3.25660727871058e+01dB,9.13423934543903e+00°)
1.41253754462274e+07	(-3.25451365976825e+01dB,8.15340720901488e+00°)
1.58489319246110e+07	(-3.25284353198208e+01dB,7.27563256055747e+00°)
1.77827941003890e+07	(-3.25151238310299e+01dB,6.49074165692508e+00°)
1.99526231496886e+07	(-3.25045214484177e+01dB,5.78937381101798e+00°)
2.23872113856831e+07	(-3.24960814842353e+01dB,5.16297496134468e+00°)
2.51188643150955e+07	(-3.24893658587086e+01dB,4.60376957085784e+00°)
2.81838293126442e+07	(-3.24840241540680e+01dB,4.10471907492813e+00°)
3.16227766016834e+07	(-3.24797764738178e+01dB,3.65947277478991e+00°)
3.54813389233571e+07	(-3.24763995048327e+01dB,3.26231530148377e+00°)
3.98107170553493e+07	(-3.24737152398596e+01dB,2.90811345716516e+00°)
4.46683592150958e+07	(-3.24715818879945e+01dB,2.59226427930658e+00°)
5.01187233627266e+07	(-3.24698865709538e+01dB,2.31064548473863e+00°)
5.62341325190342e+07	(-3.24685394683770e+01dB,2.05956896579003e+00°)
6.30957344480186e+07	(-3.24674691335746e+01dB,1.83573767590691e+00°)
7.07945784384129e+07	(-3.24666187513376e+01dB,1.63620601576169e+00°)
7.94328234724272e+07	(-3.24659431518906e+01dB,1.45834368192759e+00°)
8.91250938133734e+07	(-3.24654064304395e+01dB,1.29980284612092e+00°)
9.99999999999987e+07	(-3.24649800508999e+01dB,1.15848847693682e+00°)
1.12201845430195e+08	(-3.24646413362249e+01dB,1.03253158624866e+00°)
1.25892541179415e+08	(-3.24643722670613e+01dB,9.20265170196686e-01°)
1.41253754462274e+08	(-3.24641585261316e+01dB,8.20202614298729e-01°)
1.58489319246109e+08	(-3.24639887382948e+01dB,7.31018339027063e-01°)
1.77827941003890e+08	(-3.24638538663635e+01dB,6.51530473704378e-01°)
1.99526231496885e+08	(-3.24637467308384e+01dB,5.80685360405737e-01°)
2.23872113856831e+08	(-3.24636616282107e+01dB,5.17543704742801e-01°)
2.51188643150955e+08	(-3.24635940276154e+01dB,4.61268205584092e-01°)
2.81838293126442e+08	(-3.24635403298100e+01dB,4.11112510815541e-01°)
3.16227766016834e+08	(-3.24634976756548e+01dB,3.66411360664566e-01°)
3.54813389233571e+08	(-3.24634637939518e+01dB,3.26571793288615e-01°)
3.98107170553492e+08	(-3.24634368805642e+01dB,2.91065300069672e-01°)
4.46683592150957e+08	(-3.24634155023698e+01dB,2.59420829296526e-01°)
5.01187233627265e+08	(-3.24633985209753e+01dB,2.31218547356538e-01°)
5.62341325190341e+08	(-3.24633850321059e+01dB,2.06084276151104e-01°)
6.30957344480185e+08	(-3.24633743174604e+01dB,1.83684533902498e-01°)
7.07945784384128e+08	(-3.24633658064628e+01dB,1.63722114224399e-01°)
7.94328234724270e+08	(-3.24633590458830e+01dB,1.45932145338345e-01°)
8.91250938133733e+08	(-3.24633536757030e+01dB,1.30078577464653e-01°)
1.00000000000000e+09	(-3.24633494099456e+01dB,1.15951052168545e-01°)
