Freq.	V(out)/V(in)
Step Information: R=1K  (Step: 3/3)
8.91250938133737e+05	(-2.45283161579138e+01dB,-8.45996302225019e+01°)
9.99999999999990e+05	(-2.69234795075677e+01dB,-9.64358125281529e+01°)
1.12201845430195e+06	(-2.94615929614970e+01dB,-1.03302508769127e+02°)
1.25892541179415e+06	(-3.19052216673296e+01dB,-1.06570253619253e+02°)
1.41253754462274e+06	(-3.41840106078900e+01dB,-1.07368370373821e+02°)
1.58489319246110e+06	(-3.62880678429240e+01dB,-1.06426473684460e+02°)
1.77827941003891e+06	(-3.82237932898764e+01dB,-1.04203394380541e+02°)
1.99526231496886e+06	(-3.99995326255377e+01dB,-1.01001922290515e+02°)
2.23872113856832e+06	(-4.16218971960940e+01dB,-9.70392986453727e+01°)
2.51188643150955e+06	(-4.30955919602939e+01dB,-9.24870297661810e+01°)
2.81838293126442e+06	(-4.44242853609974e+01dB,-8.74923619213036e+01°)
3.16227766016835e+06	(-4.56116480716803e+01dB,-8.21888348603349e+01°)
3.54813389233572e+06	(-4.66622228693359e+01dB,-7.67002306190529e+01°)
3.98107170553493e+06	(-4.75819867732201e+01dB,-7.11406526283827e+01°)
4.46683592150958e+06	(-4.83785656155490e+01dB,-6.56126673965190e+01°)
5.01187233627267e+06	(-4.90611294154251e+01dB,-6.02049347432502e+01°)
5.62341325190343e+06	(-4.96400459273006e+01dB,-5.49903112520045e+01°)
6.30957344480186e+06	(-5.01263955351417e+01dB,-5.00249759630149e+01°)
7.07945784384130e+06	(-5.05314509866478e+01dB,-4.53487313087931e+01°)
7.94328234724273e+06	(-5.08662050260416e+01dB,-4.09863332446109e+01°)
8.91250938133736e+06	(-5.11409977078595e+01dB,-3.69495360287845e+01°)
9.99999999999989e+06	(-5.13652635708275e+01dB,-3.32394931176700e+01°)
1.12201845430195e+07	(-5.15473942227277e+01dB,-2.98492004598405e+01°)
1.25892541179415e+07	(-5.16946970351117e+01dB,-2.67657571944534e+01°)
1.41253754462274e+07	(-5.18134247675577e+01dB,-2.39723141050848e+01°)
1.58489319246110e+07	(-5.19088514159742e+01dB,-2.14496597793127e+01°)
1.77827941003890e+07	(-5.19853735335737e+01dB,-1.91774499046339e+01°)
1.99526231496886e+07	(-5.20466214451993e+01dB,-1.71351173929414e+01°)
2.23872113856831e+07	(-5.20955697583479e+01dB,-1.53025152885780e+01°)
2.51188643150955e+07	(-5.21346406933063e+01dB,-1.36603467626044e+01°)
2.81838293126442e+07	(-5.21657968268935e+01dB,-1.21904320985796e+01°)
3.16227766016834e+07	(-5.21906219518961e+01dB,-1.08758551298858e+01°)
3.54813389233571e+07	(-5.22103900875469e+01dB,-9.70102340734483e+00°)
3.98107170553493e+07	(-5.22261234418452e+01dB,-8.65166872034438e+00°)
4.46683592150958e+07	(-5.22386405040003e+01dB,-7.71480802650009e+00°)
5.01187233627266e+07	(-5.22485955743603e+01dB,-6.87867951105963e+00°)
5.62341325190342e+07	(-5.22565110202081e+01dB,-6.13266433242203e+00°)
6.30957344480186e+07	(-5.22628034466004e+01dB,-5.46720144554981e+00°)
7.07945784384129e+07	(-5.22678048356888e+01dB,-4.87370054920806e+00°)
7.94328234724272e+07	(-5.22717795621199e+01dB,-4.34445649123414e+00°)
8.91250938133734e+07	(-5.22749380512620e+01dB,-3.87256724353282e+00°)
9.99999999999987e+07	(-5.22774477187697e+01dB,-3.45185669499321e+00°)
1.12201845430195e+08	(-5.22794417175603e+01dB,-3.07680291497185e+00°)
1.25892541179415e+08	(-5.22810259221312e+01dB,-2.74247213422224e+00°)
1.41253754462274e+08	(-5.22822844994136e+01dB,-2.44445842423837e+00°)
1.58489319246109e+08	(-5.22832843484123e+01dB,-2.17882888335877e+00°)
1.77827941003890e+08	(-5.22840786359444e+01dB,-1.94207403818512e+00°)
1.99526231496885e+08	(-5.22847096109898e+01dB,-1.73106310877920e+00°)
2.23872113856831e+08	(-5.22852108438869e+01dB,-1.54300376528495e+00°)
2.51188643150955e+08	(-5.22856090073111e+01dB,-1.37540599681126e+00°)
